COMBUSTÍVEL,ANO,REGIÃO,ESTADO,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,RORAIMA,0,40,10,10,75,0,0,0,0,15,0,0,0
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,PARÁ,2056,2142,2309,2260,"2284,5","16304,5",538,409,573,598,606,471,2058
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,AMAPÁ,0,0,0,0,0,0,0,0,0,0,0,0,0
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,TOCANTINS,"2330,5","31068,05","32018,1","30203,9","32405,7","31309,4","29510,4","200489,55",2479,2174,2616,"2150,5",2224
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,MARANHÃO,"69684,071","68920,51","85844,468","91064,126","86436,605","90642,798","87816,255","85874,57","961450,661","80086,96","68740,404","75757,592","70582,302"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,PIAUÍ,"39924,95",40403,"38153,5","38534,5","39142,9","36575,001",39425,"37907,5",36355,"463910,651","43519,1","34628,45","39341,75"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,CEARÁ,"2053,5",2063,2021,1897,28519,"31291,35","27905,571","32719,5","30608,5",29015,"192802,421",2553,2156
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,RIO GRANDE DO NORTE,"1022,55",923,1037,812,746,"856,5","976,5",823,851,827,"837,5","19467,15","9755,1"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,PARAÍBA,"38591,16","34810,35","35338,492","36670,84","35008,385","32459,287","34002,44","34259,72","34190,45","37663,64","36397,73","34519,285","423911,779"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,PERNAMBUCO,"749045,37","65552,1","57662,151","60474,62","66118,111","65939,199","54190,45","57959,5","59777,25","61901,7","68962,723","68270,065","62237,501"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,ALAGOAS,32434,"342181,244",37199,"32000,185",29449,26197,"24103,5",21974,"23372,5",24623,25291,"31949,089","33588,97"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,SERGIPE,"23705,3","24847,1","285246,3","25872,1",22924,"24378,1","25354,8","25169,9","21132,5","21781,1","23300,8","22426,5","24354,1"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORDESTE,BAHIA,"240737,51","222538,336","203730,652","2276074,103","145162,504","146585,672","156863,11","163165,95","157747,43","136656,006","240402,282","239669,856","222814,795"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO SUDESTE,MINAS GERAIS,"220656,52","230895,25","213177,548","189386,818","2400309,039","179420,37","165838,486","184122,709","189650,2","191473,411","179753,914","221816,946","234116,867"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO SUDESTE,ESPÍRITO SANTO,"88926,941","83340,142","88666,784","80290,274","68018,866","986413,989","84710,896","75339,847","80869,151","82877,458","87579,601","80381,005","85413,024"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO SUDESTE,RIO DE JANEIRO,"82454,598","88393,524","79460,928","83121,974","76102,229","72483,049","993335,431","88177,097","77421,978","87962,21","88658,393","87335,139","81764,312"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO SUDESTE,SÃO PAULO,"628861,003","669362,956","732605,439","650259,106","695819,145","633832,062","541088,441","7690273,918","594835,551","565228,508","625831,24","674583,774","677966,693"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO SUL,PARANÁ,"341786,96","316169,978","381434,174","407355,384","359905,7","389814,616","352291,012","292196,003","4209457,323","332135,66","327480,972","351090,878","357795,986"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO SUL,SANTA CATARINA,"108014,698","107605,719","98701,298","107368,074","113408,784","102883,019","113209,097","104760,211","86718,073","1225599,737","96765,766","90190,305","95974,693"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO SUL,RIO GRANDE DO SUL,"92444,418","98326,308","89934,905","83742,748","91340,459","93165,71","87014,92","99658,27","93550,715","83739,302","1084372,799","90075,264","81379,78"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,"5890,73","4099,54","2963,5","3030,57","2955,05","5971,37","6572,12","4899,57","5835,07","4360,48","3342,67","54577,91","4657,24"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO CENTRO-OESTE,MATO GROSSO,"981,225","1239,01","989,704","974,374","533,634","382,39","1266,409","1815,131","2172,611","3370,617","2818,7","2344,773","18888,578"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO CENTRO-OESTE,GOIÁS,"28780,9",725,350,661,521,675,669,2622,"5248,9","5587,7","4935,6","3905,4","2880,3"
ÓLEO DIESEL S-500 (m3),2013,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,0,45,15,5,0,0,0,0,5,0,0,20,0
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORTE,RONDÔNIA,"57128,718","51712,357","675015,874","52522,464","47880,411","54380,456","55859,538","58548,215","57316,03","60831,787","62459,226","54570,629","61806,043"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORTE,ACRE,"14139,166","12430,431",11134,"145268,893","10143,361","11170,935",9642,"11302,5",12034,12136,"13515,5",14032,13589
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORTE,AMAZONAS,"97615,793","106329,478","84727,839","90608,085","1165923,612","93448,995","88319,854","93966,685","100811,432","99655,81","98451,242","106334,216","105654,183"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORTE,RORAIMA,"5462,8","6778,6","8959,2","8281,2","8260,6","87909,2","7943,6","7176,4","8582,4","9354,6","5977,2","5592,6",5540
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORTE,PARÁ,"138496,156","137975,104","138045,44","152303,698","143421,638","131977,261","1570286,979","120707,549","110801,716","118150,267","122332,626","124074,282","132001,242"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORTE,AMAPÁ,"36902,285","37319,415","42685,101","40910,267","48949,993","51272,454","45658,66","475954,673","36186,304","32264,727","34540,526","34333,214","34931,727"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORTE,TOCANTINS,"58116,55","55001,998","30244,55","31922,35","30799,95","32552,1","31881,6","25902,687","514198,585","50208,4","49155,45","58429,3","59983,65"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,MARANHÃO,"12291,8",12043,12138,60,15,0,0,0,0,"70998,4",11817,10551,"12082,6"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,PIAUÍ,10,0,0,10,57,0,10,0,108,34,262,0,33
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,CEARÁ,34480,36759,37184,42111,"41693,5",9339,8986,9023,"10346,5","10669,299",10554,"294653,829","43508,53"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,RIO GRANDE DO NORTE,"48146,9","44505,9","43490,681","46602,033",44419,"34257,65","35098,058","36327,5","35688,424","38883,73",37482,38507,"483408,876"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,PARAÍBA,61,5,0,0,0,0,0,31,0,0,0,0,25
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,PERNAMBUCO,267,"1672,5","17,5",15,74,30,"280,5",233,57,35,86,"380,5",197
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,ALAGOAS,0,0,0,0,0,0,0,0,0,0,0,0,0
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,SERGIPE,0,0,0,0,0,0,0,0,0,0,0,0,0
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO NORDESTE,BAHIA,0,30,"113,5",32,"556996,338","81868,25","99993,24","88680,5",90428,"100092,398","93111,25","2644,2",3
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO SUDESTE,MINAS GERAIS,"366934,587","340821,824","365861,815","332609,284","269735,938","4065396,087","306702,14","302930,209","339691,543","358587,308","367267,993","362135,491","352117,955"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO SUDESTE,ESPÍRITO SANTO,"380,45",385,439,"437,2",335,313,"4988,105",491,412,"435,255",401,505,"454,2"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO SUDESTE,RIO DE JANEIRO,"52102,783","55173,853","60744,132","55684,496","59242,192","54567,561","51753,704","650670,451","51079,286","45215,394","53503,103","54838,887","56765,06"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO SUDESTE,SÃO PAULO,"243383,286","225957,688","252609,3","269849,972","238389,582","247533,601","221542,728","166342,111","2571963,491","155672,397","155739,098","176480,331","218463,397"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO SUL,PARANÁ,"14536,469","6385,429","5102,1","6105,91","5983,5","5177,19","6030,7","6006,2","4591,6","105347,468","15511,9","13697,02","16219,45"
