COMBUSTÍVEL,ANO,REGIÃO,ESTADO,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
GASOLINA C (m3),2000,REGIÃO NORTE,RONDÔNIA,"136073,253","9563,263","11341,229","9369,746","10719,983","11165,968","12312,451","11220,97","12482,281","13591,122","11940,57","11547,576","10818,094"
GASOLINA C (m3),2000,REGIÃO NORTE,ACRE,"3358,346","40001,853","3065,758","3495,29","2946,93","3023,92","3206,93","3612,58","3264,46","3835,74","3676,571","3225,61","3289,718"
GASOLINA C (m3),2000,REGIÃO NORTE,AMAZONAS,"20766,918","21180,919","242742,352","17615,604","20258,2","18741,344","19604,023","20221,674","20792,616","19912,898","21869,338","21145,643","20633,175"
GASOLINA C (m3),2000,REGIÃO NORTE,RORAIMA,"3716,032","3200,4","3339,332","43338,929","3259,3","3636,216","3631,569","3348,416","3394,016","4078,616","3346,616","4029,9","4358,516"
GASOLINA C (m3),2000,REGIÃO NORTE,PARÁ,"29755,907","28661,951","28145,784","29294,796","359575,398","28830,479","32297,047","27310,979","29396,384","26511,009","36553,25","31807,84","31009,972"
GASOLINA C (m3),2000,REGIÃO NORTE,AMAPÁ,"4096,7","4374,2","3917,75","3779,9","4068,216","46255,816","3456,35","4092,25","3395,6","3613,7","3533,05","4387,1",3541
GASOLINA C (m3),2000,REGIÃO NORTE,TOCANTINS,"8046,45","7734,34","8267,903","7398,315","7153,283","7522,171","89082,367","6961,518","7027,916","6616,28","6699,691","7174,92","8479,58"
GASOLINA C (m3),2000,REGIÃO NORDESTE,MARANHÃO,"19185,495","18027,96","18185,91","19684,36","17944,756","17643,608","17730,675","211092,697","16751,08","17985,405","15357,75","15875,728","16719,97"
GASOLINA C (m3),2000,REGIÃO NORDESTE,PIAUÍ,"9638,45","10861,4","10473,45","10857,385","11773,193","10630,465","10592,222","10952,369","119724,294","8452,2","9584,7","7626,11","8282,35"
GASOLINA C (m3),2000,REGIÃO NORDESTE,CEARÁ,"36847,944","39146,176","41110,491","38988,768","39539,664","41027,53","39412,808","38923,274","40867,267","471627,808","38492,506","40179,297","37092,083"
GASOLINA C (m3),2000,REGIÃO NORDESTE,RIO GRANDE DO NORTE,"17949,95","17620,6","18024,05","19198,35","16607,65","19082,537","19266,204","18467,781","18534,865","19630,397","222414,254","19130,2","18901,67"
GASOLINA C (m3),2000,REGIÃO NORDESTE,PARAÍBA,"20266,851","17760,866","18774,2","19128,15","18352,35","15439,8","16998,465","18352,772","17453,257","18325,781","19422,052","220440,596","20166,052"
GASOLINA C (m3),2000,REGIÃO NORDESTE,PERNAMBUCO,"51905,707","62859,575","51836,615","52069,116","54715,623","51551,63","43244,78","45798,134","47324,825","46358,883","49191,749","52270,868","609127,505"
GASOLINA C (m3),2000,REGIÃO NORDESTE,ALAGOAS,"164548,309","14001,15","13998,008","12592,121","13921,15","13962,816","13676,4","12461,124","13174,12","14419,916","13613,576","13934,106","14793,822"
GASOLINA C (m3),2000,REGIÃO NORDESTE,SERGIPE,"12707,571","149152,578","12292,884","13170,942","12177,374","11931,134","12751,083","12999,466","11471,1","12407,15","12762,904","12436,107","12044,863"
GASOLINA C (m3),2000,REGIÃO NORDESTE,BAHIA,"73630,193","81414,03","927013,954","79545,219","81350,125","73081,355","72319,496","74122,654","82607,784","74717,746","78765,903","79296,13","76163,319"
GASOLINA C (m3),2000,REGIÃO SUDESTE,MINAS GERAIS,"197289,3","191359,24","203730,277","2324323,709","182555,481","195290,073","181880,336","193518,502","194328,45","211011,796","184604,726","190733,143","198022,385"
GASOLINA C (m3),2000,REGIÃO SUDESTE,ESPÍRITO SANTO,"34425,525","34969,853","33811,764","36915,407","497338,373","43744,621","45926,085","42766,428","48544,384","52672,001","58173,434","33076,898","32311,973"
GASOLINA C (m3),2000,REGIÃO SUDESTE,RIO DE JANEIRO,"162775,786","159455,064","170050,562","153214,082","169155,095","1847747,041","152471,323","154445,574","137874,316","142844,469","133011,979","157785,971","154662,82"
GASOLINA C (m3),2000,REGIÃO SUDESTE,SÃO PAULO,"575302,161","598991,152","603057,697","652425,419","627900,045","656697,245","7428480,818","579928,009","643248,094","605500,41","618650,177","614461,497","652318,912"
GASOLINA C (m3),2000,REGIÃO SUL,PARANÁ,"141272,276","120306,416","124057,22","127456,768","126089,287","127217,608","140577,245","1583337,002","131275,827","139828,219","132674,662","135278,932","137302,542"
GASOLINA C (m3),2000,REGIÃO SUL,SANTA CATARINA,"84778,684","95782,864","86011,333","84710,47","92420,292","90161,217","91530,697","102189,302","1088444,773","90238,164","96826,943","86662,71","87132,097"
GASOLINA C (m3),2000,REGIÃO SUL,RIO GRANDE DO SUL,"160079,439","160513,131","169750,799","148887,406","156146,992","156949,816","156677,715","158636,867","169447,748","1912987,247","155870,853","171836,485","148189,996"
GASOLINA C (m3),2000,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,"21692,937","23446,215","23112,259","24360,118","23974,14","23870,663","26477,505","24445,827","23412,072","25815,36","288188,085","22586,589","24994,4"
GASOLINA C (m3),2000,REGIÃO CENTRO-OESTE,MATO GROSSO,"23245,28","21682,924","21881,813","24084,058","24138,483","24424,395","23567,688","23955,236","22493,198","27907,664","27399,759","285679,856","20899,358"
GASOLINA C (m3),2000,REGIÃO CENTRO-OESTE,GOIÁS,"58254,692","60709,113","56363,192","59585,032","60409,112","63762,883","59713,602","59023,033","65077,56","60458,711","60729,001","63977,934","728063,865"
GASOLINA C (m3),2000,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,"593389,679","39257,909","49569,772","48423,406","48553,004","51085,485","53138,994","47297,271","51706,871","49501,962","52617,237","49397,543","52840,225"
GASOLINA C (m3),2001,REGIÃO NORTE,RONDÔNIA,"10500,844","133195,409","10440,37","9566,95","10895,277","10727,244","11164,73","11587,966","11225,507","12358,21","11392,627","11387,328","11948,356"
GASOLINA C (m3),2001,REGIÃO NORTE,ACRE,"3345,625","3158,298","38892,741","3037,472","2758,426","3116,71","3103,785","3329,646","3407,22","3304,844","3755,668","3227,582","3347,465"
GASOLINA C (m3),2001,REGIÃO NORTE,AMAZONAS,"22763,56","21999,867","20211,513","246106,662","18643,204","18332,105","20282,033","19375,104","21367,65","20798,383","20175,47","21983,399","20174,374"
GASOLINA C (m3),2001,REGIÃO NORTE,RORAIMA,"3111,004","3629,337","3550,137","3521,635","38968,113","2971,827","2860,6","3183,92","3424,738","3282,411","3263,927","2930,373","3238,204"
GASOLINA C (m3),2001,REGIÃO NORTE,PARÁ,"35388,101","35351,1","35270,001","27654,287","27034,237","350218,183","24540,269","23019,39","25016,135","24451,59","26300,629","31000,414","35192,03"
GASOLINA C (m3),2001,REGIÃO NORTE,AMAPÁ,"3861,75","4076,5","3754,25","4032,19","3885,5","3989,7","45203,74","3481,1","3208,3","3800,9","3625,85","3726,05","3761,65"
GASOLINA C (m3),2001,REGIÃO NORTE,TOCANTINS,"8425,556","9072,67","8604,574","7759,726","9484,957","7242,11","7503,235","95690,215","7403,849","6896,216","7649,493","7671,612","7976,217"
GASOLINA C (m3),2001,REGIÃO NORDESTE,MARANHÃO,"17102,723","17869,133","17763,869","18493,755","17081,466","18504,404","18204,043","18477,319","209670,924","17435,787","15343,845","17133,808","16260,772"
GASOLINA C (m3),2001,REGIÃO NORDESTE,PIAUÍ,"10160,891","10555,12","10754,043","10861,045","11125,134","10561,399","10892,648","10976,837","10638,964","126960,081","10840,166","9219,028","10374,806"
GASOLINA C (m3),2001,REGIÃO NORDESTE,CEARÁ,"37412,089","36351,435","39006,418","38934,188","39219,403","39331,257","38330,006","39043,492","37527,636","39836,264","458676,133","38692,247","34991,698"
